,Velocity,Power,Order
35,1100.0,320.0,0
46,1400.0,320.0,1
21,800.0,240.0,2
5,500.0,140.0,3
31,1100.0,240.0,4
16,800.0,140.0,5
7,500.0,180.0,6
43,1400.0,260.0,7
40,1400.0,200.0,8
39,1400.0,180.0,9
38,1400.0,160.0,10
37,1400.0,140.0,11
10,500.0,240.0,12
42,1400.0,240.0,13
19,800.0,200.0,14
13,800.0,80.0,15
47,1400.0,340.0,16
26,1100.0,140.0,17
0,500.0,40.0,18
30,1100.0,220.0,19
22,800.0,260.0,20
41,1400.0,220.0,21
34,1100.0,300.0,22
27,1100.0,160.0,23
11,500.0,260.0,24
24,1100.0,100.0,25
6,500.0,160.0,26
9,500.0,220.0,27
17,800.0,160.0,28
14,800.0,100.0,29
18,800.0,180.0,30
36,1400.0,120.0,31
28,1100.0,180.0,32
3,500.0,100.0,33
23,800.0,280.0,34
4,500.0,120.0,35
20,800.0,220.0,36
45,1400.0,300.0,37
2,500.0,80.0,38
8,500.0,200.0,39
25,1100.0,120.0,40
1,500.0,60.0,41
33,1100.0,280.0,42
32,1100.0,260.0,43
29,1100.0,200.0,44
15,800.0,120.0,45
12,800.0,60.0,46
44,1400.0,280.0,47
